Area;Price;Market;Rooms_num;Rent;District;Build_year;Garage;Lift;Basement;Balcony;Garden;Terrace;Floors_num;Floor_no;Construction_status;Latitude;Longitude;Link
33.34;559000;primary;1;;Szczepin;2026;True;True;False;True;False;False;6;1;;51.12432;17.01739;https://www.otodom.pl/pl/oferta/swietna-lokalizacja-kawalerka-z-balkonem-centrum-ID4p6fv
62.8;710715;primary;3;;Oporów;2025;True;True;False;True;False;False;3;0;;51.079898;16.96108;https://www.otodom.pl/pl/oferta/nowe-osiedle-trzy-pokoje-duzy-taras-ID4p6ft
74.3;988190;primary;4;;Ołbin;2024;True;True;False;True;False;False;7;5;;51.12819;17.05011;https://www.otodom.pl/pl/oferta/apartament-4-pokoje-garderoba-garaz-ID4p6fs
44.67;902334;primary;2;;Szczepin;2024;True;True;False;True;False;False;24;7;;51.113424;17.02191;https://www.otodom.pl/pl/oferta/scisle-centrum-apartament-przy-rzece-ID4p6fp
67.0;785000;secondary;4;580;Psie Pole - Zawidawie;2022;True;False;False;True;False;True;2;2;ready_to_use;51.15128;17.12003;https://www.otodom.pl/pl/oferta/jasne-4-pok-z-tarasem-parking-komorka-ID4of4Z
27.1;513246;primary;1;;Przedmieście Świdnickie;2024;True;True;False;False;True;True;6;0;to_completion;51.103089746233;17.033028194104;https://www.otodom.pl/pl/oferta/czysta-4-mieszkanie-1-pok-01-03-ID4oliT
82.88;1199000;secondary;2;2030;Nadodrze;2010;True;False;False;False;False;False;5;0;ready_to_use;51.1158;17.02657;https://www.otodom.pl/pl/oferta/okazja-ul-zyndrama-82m2-komorka-ID4mkkY
52.7;749000;secondary;2;600;Stare Miasto;1953;;;;;;;5;4;to_renovation;51.10949;17.03099;https://www.otodom.pl/pl/oferta/mieszkanie-plyta-rynku-52-7m2-ID4mJWx
45.9;609000;secondary;2;650;Psie Pole - Zawidawie;2021;False;False;False;True;False;False;2;2;ready_to_use;51.1619122;17.1282006;https://www.otodom.pl/pl/oferta/nowe-budownictwo2-pokgotowe-do-zamieszkania-hit-ID4o5Re
72.03;1224000;primary;3;700;Szczepin;2024;True;True;True;True;False;False;4;4;to_completion;51.1224314;17.0119577;https://www.otodom.pl/pl/oferta/centrum-miasta-apartament-3-pokoje-2-balkony-ID4oTbd
67.0;710000;secondary;4;650;Psie Pole - Zawidawie;2009;True;False;False;True;False;False;2;2;;51.14883;17.1184;https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-czteropokojowe-z-antresola-ID4p6eC
77.6;1050000;secondary;3;300;Jagodno;2022;True;False;False;False;False;True;1;1;ready_to_use;51.058405740346956;17.049728322584542;https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-3-pokoje-2-miejsca-post-ID4opT4
47.0;500000;secondary;3;500;Stare Miasto;;;;;;;;4;0;ready_to_use;51.1164857;17.0439559;https://www.otodom.pl/pl/oferta/lokal-mieszkalno-uslugowy-sprzedam-ID4oRCI
45.39;549000;primary;2;500;Sołtysowice;2025;False;True;True;True;False;False;5;0;to_completion;51.1495112;17.0758417;https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-i-balkonem-dwustronne-ID4p6eg
50.0;635000;secondary;2;550;Polanowice - Poświętne - Ligota;2014;True;False;False;True;False;False;2;1;ready_to_use;51.15846;17.03954;https://www.otodom.pl/pl/oferta/cicha-i-spokojna-okolica-wysoki-standard-ID4oEGR
40.26;545000;secondary;2;547;Jagodno;2013;False;False;False;True;False;False;3;3;ready_to_use;51.056834;17.057259;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40-26m2-balkon-5-79m-ID4oKZ0
38.3;623100;primary;2;;Krzyki - Partynice;2024;False;True;False;True;False;False;4;4;;51.075664;16.992674;https://www.otodom.pl/pl/oferta/m2-z-balkonem-idealne-na-start-zielen-za-oknem-ID4p6dn
53.0;620000;secondary;2;650;Pracze Odrzańskie;;False;True;False;False;False;False;4;1;;51.162445;16.898518;https://www.otodom.pl/pl/oferta/2-pokoje-garderoba-stablowice-ID4p6dm
59.54;797836;primary;3;;Krzyki - Partynice;2025;True;True;False;True;False;False;3;3;to_completion;51.0614064;17.0042857;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-2-balkony-ID4nioI
56.24;630000;secondary;3;560;Lipa Piotrowska;2023;True;False;False;True;False;False;2;2;ready_to_use;51.178621;16.99724;https://www.otodom.pl/pl/oferta/nowe-pod-klucz-komorka-plus-garaz-bez-pcc-ID4p5ry
52.0;850000;secondary;3;;Klecina;2019;True;False;False;True;False;False;3;2;ready_to_use;51.06576715298917;16.984603367736806;https://www.otodom.pl/pl/oferta/3-pokoje-miejsce-postojowe-tramwaj-przy-osiedlu-ID4p40f
45.0;725000;secondary;3;630;Stare Miasto;1970;False;False;True;False;False;False;4;3;ready_to_use;51.11232;17.03429;https://www.otodom.pl/pl/oferta/3-pokoje-rynek-idealne-do-wynajmu-ID4p6cv
73.03;781656;primary;3;;Gądów - Popowice Płd.;2023;False;True;False;True;False;False;2;2;;51.122044;16.962675;https://www.otodom.pl/pl/oferta/inwestycja-balonowa-3-pokojowe-mieszkanie-ID4jcTd
31.8;519000;secondary;2;149;Gajowice;1930;False;False;False;False;True;False;4;0;ready_to_use;51.0912796;17.0022359;https://www.otodom.pl/pl/oferta/piekne-2-pok-po-remoncie-niedaleko-ch-borek-ID4oZb2
64.0;698000;secondary;3;500;Krzyki - Partynice;2000;False;False;True;False;False;False;3;0;;51.0752305;16.9930494;https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-na-krzykach-ID4p6aV
48.22;1277830;primary;2;500;Szczepin;2023;True;True;False;True;False;False;5;4;ready_to_use;51.1116212;17.0222264;https://www.otodom.pl/pl/oferta/loftowy-apartament-w-samym-sercu-wroclawia-48m2-ID4mpF9
48.0;720000;secondary;2;;Pilczyce - Kozanów - Popowice Płn.;2020;False;True;False;True;False;False;8;8;ready_to_use;51.12915657940775;16.98898853303529;https://www.otodom.pl/pl/oferta/port-popowice-48m2-klimatyzacja-duza-kuchnia-ID4p4l8
62.19;730000;secondary;3;436;Jagodno;2022;True;True;False;True;False;True;4;4;to_completion;51.0599571727752;17.05261491661071;https://www.otodom.pl/pl/oferta/62-19-m-taras-31-m-dwupoziomowe-premium-ID4nAZE
33.5;550000;secondary;2;;Stare Miasto;;False;False;True;False;False;False;4;2;ready_to_use;51.11077;17.03832;https://www.otodom.pl/pl/oferta/rynek-inwestycyjnie-z-najemca-airbnb-ID4oZFt
59.95;799996;secondary;3;450;Maślice;2014;True;False;False;True;False;False;3;1;ready_to_use;51.15563;16.93648;https://www.otodom.pl/pl/oferta/dla-rodziny-brzozowe-zacisze-garaz-ID4oZWq
120.0;990000;secondary;3;;Biskupin - Sępolno - Dąbie - Bartoszowice;1930;False;False;True;False;False;True;2;2;;51.10707;17.09821;https://www.otodom.pl/pl/oferta/120m2-po-podlodze-duza-piwnica-sepolno-biskupin-ID4oHD9
76.5;750000;secondary;4;;Polanowice - Poświętne - Ligota;2000;True;True;False;True;False;False;4;4;;51.15736;17.03612;https://www.otodom.pl/pl/oferta/2-lazienki-2-windy-balkon-parking-ID4oHDd
59.62;868999;secondary;3;800;Muchobór Wielki;2016;False;True;False;True;False;False;4;1;ready_to_use;51.10656;16.94278;https://www.otodom.pl/pl/oferta/premium-dla-rodziny-magnolia-balkon-ID4oZWt
46.7;999999;secondary;2;;Szczepin;2018;True;True;False;True;False;True;17;6;;51.11445;17.02073;https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-atal-towers-2pokoje-ID4o1My
81.17;925000;primary;4;;Ołtaszyn;2024;False;False;False;False;True;True;1;0;to_completion;51.0529;17.0302;https://www.otodom.pl/pl/oferta/4-pok-mieszk-z-ogrodem-oltaszyn-wroclaw-ID4p6av
32.52;425000;secondary;1;440;Wojszyce;2005;;;;;;;4;0;ready_to_use;51.06404;17.03921;https://www.otodom.pl/pl/oferta/gotowe-osiedle-zamkniete-zielona-okolica-ID4oWAU
50.85;910000;secondary;2;650;Strachocin - Swojczyce - Wojnów;2020;True;True;False;False;False;True;4;1;ready_to_use;51.11044;17.11772;https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-duzy-taras-blisko-rzeki-ID4hprs
